last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Hilliard, Sam,656541,2020,114,63,.210,.189,0.021,.438,.338,0.100,.301,.262,0.039
Robles, Victor,645302,2020,189,118,.220,.205,0.015,.315,.280,0.035,.273,.261,0.012
Smoak, Justin,475253,2020,132,78,.176,.188,-0.012,.361,.327,0.034,.265,.260,0.005
Alberto, Hanser,593643,2020,231,193,.283,.244,0.039,.393,.316,0.077,.301,.259,0.042
Rosario, Amed,642708,2020,147,109,.252,.230,0.022,.371,.335,0.036,.277,.257,0.020
Rengifo, Luis,650859,2020,106,66,.156,.182,-0.026,.200,.249,-0.049,.227,.256,-0.029
Mendick, Danny,664901,2020,114,83,.243,.220,0.023,.383,.308,0.075,.285,.255,0.030
Bonifacio, Jorge,593528,2020,94,61,.221,.203,0.018,.326,.301,0.025,.266,.254,0.012
Villar, Jonathan,542340,2020,207,134,.232,.208,0.024,.292,.277,0.015,.266,.253,0.013
Inciarte, Ender,542255,2020,131,94,.190,.211,-0.021,.250,.261,-0.011,.233,.253,-0.020
Mullins, Cedric,656775,2020,153,107,.271,.214,0.057,.407,.297,0.110,.313,.250,0.063
Bart, Joey,663698,2020,111,62,.233,.200,0.033,.320,.292,0.028,.271,.247,0.024
Long Jr., Shed,643418,2020,128,80,.171,.173,-0.002,.291,.301,-0.010,.238,.246,-0.008
Quinn, Roman,596451,2020,116,70,.213,.208,0.005,.315,.280,0.035,.254,.243,0.011
Paredes, Isaac,670623,2020,108,76,.220,.206,0.014,.290,.266,0.024,.255,.241,0.014
Camargo, Johan,622666,2020,127,85,.200,.184,0.016,.367,.316,0.051,.262,.236,0.026
Calhoun, Willie,641432,2020,108,85,.190,.192,-0.002,.260,.269,-0.009,.217,.232,-0.015
Dahl, David,621311,2020,99,66,.183,.199,-0.016,.247,.286,-0.039,.208,.231,-0.023
Romine, Austin,519222,2020,135,84,.238,.205,0.033,.323,.294,0.029,.253,.229,0.024
Adell, Jo,666176,2020,132,69,.161,.171,-0.010,.266,.284,-0.018,.212,.226,-0.014
Tucker, Cole,657061,2020,116,80,.220,.195,0.025,.275,.256,0.019,.233,.218,0.015
Mercado, Oscar,640458,2020,93,61,.128,.158,-0.030,.174,.227,-0.053,.159,.193,-0.034
